Team Name,Year,Wins,Losses,Win %,Goals For (GF),Goals Against (GA),+/-
Boston Bruins,1990,44,0.55,24,299,264,35
Buffalo Sabres,1990,31,14,30,292,278,14
Calgary Flames,1990,46,0.575,26,344,263,81
Chicago Blackhawks,1990,49,0.613,23,284,211,73
Detroit Red Wings,1990,34,-25,38,273,298,-25
Edmonton Oilers,1990,37,0,37,272,272,0
Hartford Whalers,1990,31,-38,38,238,276,-38
Los Angeles Kings,1990,46,0.575,24,340,254,86
Minnesota North Stars,1990,27,-10,39,256,266,-10
Montreal Canadiens,1990,39,24,30,273,249,24
New Jersey Devils,1990,32,8,33,272,264,8
New York Islanders,1990,25,-67,45,223,290,-67
New York Rangers,1990,36,32,31,297,265,32
Philadelphia Flyers,1990,33,-15,37,252,267,-15
Pittsburgh Penguins,1990,41,0.512,33,342,305,37
Quebec Nordiques,1990,16,-118,50,236,354,-118
St. Louis Blues,1990,47,0.588,22,310,250,60
Toronto Maple Leafs,1990,23,-77,46,241,318,-77
Vancouver Canucks,1990,28,-72,43,243,315,-72
Washington Capitals,1990,37,0,36,258,258,0
Winnipeg Jets,1990,26,-28,43,260,288,-28
Boston Bruins,1991,36,-5,32,270,275,-5
Buffalo Sabres,1991,31,-10,37,289,299,-10
Calgary Flames,1991,31,-9,37,296,305,-9
Chicago Blackhawks,1991,36,21,29,257,236,21
